% of Total,% of Total
Document (Front) / المستند (وجه أمامي),Document (Front) / المستند (وجه أمامي)
Document Number / رقم المستند,Document Number / رقم المستند
Document Type / نوع المستند,Document Type / نوع المستند
Documentation Entry,Documentation Entry
Documentation Type,Documentation Type
Documentation — التوثيق,Documentation — التوثيق
Download QR Code,Download QR Code
Draft,Draft
Draft / مسودة,Draft / مسودة
Draft → Submitted → Confirmed → Checked In → Checked Out → Invoiced,Draft → Submitted → Confirmed → Checked In → Checked Out → Invoiced
Driver License / رخصة القيادة,Driver License / رخصة القيادة
Driving License,Driving License
Dropped,Dropped
Duration (hours),Duration (hours)
Duration (min),Duration (min)
Dynamic Pricing,Dynamic Pricing
Dynamic pricing applied: {0},Dynamic pricing applied: {0}
"Each booking, day pass, or amenity usage deducts credits. Top-ups and plan renewals add credits.","Each booking, day pass, or amenity usage deducts credits. Top-ups and plan renewals add credits."
Each confirmed booking generates a QR code for self-service check-in.,Each confirmed booking generates a QR code for self-service check-in.
"Each member has a credit wallet showing current balance, total earned, and total spent.","Each member has a credit wallet showing current balance, total earned, and total spent."
"Each plan includes benefits: booking credits, locker access, event invites, etc.","Each plan includes benefits: booking credits, locker access, event invites, etc."
"Each type can have its own default pricing structure: hourly, daily, or monthly rates.","Each type can have its own default pricing structure: hourly, daily, or monthly rates."
Early Bird,Early Bird
Edit Profile,Edit Profile
EGP,EGP
Email,Email
Email / البريد الإلكتروني,Email / البريد الإلكتروني
